city_id,name_fa,name_en,province_id,latitude,longitude
612,خیرآباد توللی,Kheyrabad-e Tulalli,17,29.5636622,53.0752811
613,درودزن,Dorudzan,17,30.2085544,52.4462398
614,دهکویه,Dehkuyeh,17,27.8532941,54.4214269
615,دوبرجی,"Do Borji, Fars",17,28.3071988,55.1923987
616,رحمت آباد,Rahmatabad,17,29.6314736,53.0309948
617,رستاق,Rostaq,17,28.4462401,55.0760339
618,عمادشهر,Emadshahr,17,27.4474729,53.8602178
619,فتح‌ آباد,Fathabad,17,29.939941,52.7992229
620,پاسخن,Paskhan,17,28.7897188,54.3212945
621,کورده,Kourdeh,17,27.7819745,54.4232386
622,کوپن,Kupon,17,30.335431,51.290556
623,ده خیر حسینی,Deh Kheyr Hosseini,8,35.5324025,51.4663029
624,صالحیه,Salehiyeh,8,35.5052878,51.1915512
625,فرون آباد,Ferunabad,8,35.5150443,51.6195825
626,چهاردانگه,Chahar Dangeh,8,35.6067482,51.3100612
627,گلستان,Golestan,8,35.5214193,51.1767192
628,سرفاریاب,سرفاریاب,23,30.8037579,50.8539914
629,بوستان,Greater Boustan,23,30.3255948,51.2018217
630,سرآسیاب یوسفی,سرآسیاب یوسفی,23,31.0366157,50.2175289
631,سپیدار,Sepidar,23,30.5970597,51.3631048
632,قلعه ممبی,قلعه ممبی,23,31.1085153,50.1162135
633,پاتاوه,Pataveh,23,30.9556435,51.2676802
634,چیتاب,Chitab,23,30.7942097,51.327525
635,آباد,Abad,7,29.0246495,51.2523566
636,انارستان,Anarestan,7,28.0322242,52.0649913
637,بردستان,Bardestan,7,27.874025,51.9596196
638,بوشکان,Bushkan,7,28.8303842,51.6986659
639,بیدخون,Bidkhun,7,27.4809463,52.6688701
640,دوراهک,Dowrahak,7,27.9471043,51.9598451
641,شنبه,Shonbeh,7,28.3952701,51.7645229
642,حر ریاحی,Horr,13,32.1451617,48.3902049
643,حسینیه,Hoseyniyeh,13,32.6826625,48.247497
644,رغیوه,Raghiveh,13,31.5501651,49.2387195
645,میانرود,Mianrood,13,32.153851,48.4392787
646,آزادی,آزادی,13,32.4041735,48.2512579
647,شهر چمران,Saleh Shahr,13,32.2120495,48.6722366
648,فتح المبین,Fath ol Mobin,13,32.313844,48.1479421
649,صیدون,Seydun,13,31.367373,50.0844132
650,الوان,AbdolKhan-e Alvan,13,31.8750982,48.3388672
651,عرب حسن,Arab Hasan,13,31.8332743,48.8961813
652,عنبر,عنبر,13,32.2661631,49.0128947
653,ویس,Veys,13,31.4855352,48.8758094
654,گوریه,Guriyeh,13,31.8559767,48.7563581
655,شاهپورآباد,Shahpurabad,26,33.2489264,49.7026204
656,شول آباد,shulabad,26,33.1853836,49.1906861
657,سراب دوره,Sarāb-e Dowreh,26,33.5636959,48.0225482
658,چم پلک,چم پلک,26,33.7048631,47.7921648
659,گراب,Garab,26,33.4742486,47.2370614
660,شهر جدید چناره,شهر جدید چناره,20,35.5932771,46.3084659
661,ثمرین,Samarin,3,38.3565743,48.1356863
662,زیوه,زیوه,3,39.1232787,47.6506035
663,سیردان,Sirdan,18,36.6466238,49.1917414
664,چادگان,Chadegan,4,32.7679417,50.6290648
665,لاریجان,لاریجان,1,39.3038575,47.1970867
666,خشت,Khesht,17,29.5679441,51.3395311
667,کاج,Kāj,9,32.0583082,50.5827861
668,کمالشهر,Kamalshahr,5,35.8624842,50.880468
669,اسلامشهر آق گل,Eslamshahr-e Aqgol,30,34.556816,48.990338
670,مهاجران,Mohajeran,30,35.0764851,48.6161213
671,رویان,Ruyan,15,36.3510635,55.0023106
672,کهن آباد,Kohanabad,15,35.2218074,52.5216992
673,غرق آباد,Gharqabad,28,35.1092029,49.8312434
674,گتوند,Gotvand,13,32.2449183,48.8126036
675,بندر ریگ,Bandar Rig,7,29.4875457,50.6295575
676,زیاران,Ziaran,18,36.1206422,50.5280819
677,صفی آباد,SafiAbad,13,32.261972,48.4179471
678,شمس آباد,ShamsAbad,13,32.2978523,48.4295553
679,سماله,Somaleh,13,32.198813,48.8587387
680,جنت مكان,Jannat Makan,13,32.1836847,48.8146563
681,شرافت,Sherafat,13,32.0892117,48.7684968
682,سياه منصور,Siah Mansour,13,32.3311531,48.4961792
683,سی سخت,Sisakht,23,30.8630661,51.4557071
684,درچه,Dorcheh,4,32.6171666,51.5560012
685,شهر مجلسی,Majlesi,4,32.1980788,51.4992826
686,رویدر,Ruydar,29,27.4646306,55.4191063
687,آسمان آباد,Asemanabad,6,33.8619245,46.4518435
688,شهرک حمزه,Shahrak-e Hamzeh,13,32.1774559,48.5627031
689,خان ببین,Khanbebin,24,37.0125489,54.985773
690,هنزا,Hanza,21,29.3022258,57.1909341
691,رابر,Rabor,21,29.2907749,56.914165
692,مجومرد,Majomard,31,32.0237344,54.1988488
693,میانکوه,Miankooh City,13,30.7881413,49.7302405
694,اصلاندوز,Aslan Duz,3,39.4417175,47.4102145
695,تشان,Tashan,13,30.8259721,50.2026843
696,هما شهر,Hamashahr,17,30.1150018,52.081969
697,قره بلاغ,Qarahbolagh,17,28.9053715,54.1318277
698,سیمین شهر,Siminshahr,24,37.0112938,54.2317085
699,شربیان,Sharabiyan,1,37.881101,47.1008161
700,قم,Qom,19,34.6422939,50.8801184
701,زاینده رود,Zayandeh Rud,4,32.3880514,51.269889
702,اسلامیه,Eslamiyeh,10,34.044869,58.2196234
703,باغستان,Baghestan,10,34.104231,58.2951724
704,بالاشهر,Balashahr,29,27.2101162,57.3503066
705,جزیره تنب بزرگ,Greater Tunb,29,26.2661966,55.3062051
706,رودزرد ماشین,Rud Zard-e Mashin,13,31.3700914,49.7209535
707,شهرک سیمرغ,Simorgh Town,4,32.7792545,51.6315177
